도서관 일련번호,도서관명,구 코드,구명,주소,정기 휴관일,전화번호
211,발음작은도서관,1,강서구,서울특별시 강서구 강서로47나길 35 발음교회 ,,02-2662-1372
199,방그리나작은도서관,1,강서구,서울특별시 강서구 금낭화로24길 5 방화3동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-5267
191,배다리작은도서관,1,강서구,서울특별시 강서구 곰달래로25길 45 화곡8동주민센터 2층,"일요일, 공휴일",02-2600-7701
1493,볏고을작은도서관,1,강서구,서울특별시 강서구 곰달래로 57가길 26 화곡4동주민센터 2층,"일요일, 공휴일",02-2061-2275
1598,새싹작은도서관,1,강서구,"서울특별시 강서구 수명로2길 105, 514동 1층 ",휴관중,02-2667-5118
183,생각열매작은도서관,1,강서구,서울특별시 강서구 공항대로53가길55 등촌1동주민센터 2층 ,"토요일, 일요일, 공휴일",02-2600-7356
16,서울특별시교육청강서도서관,1,강서구,서울특별시 강서구 등촌로51나길 29,"1,3주 금요일 및 법정공휴일",02-3219-7000
2024,솔뫼작은도서관,1,강서구,"서울특별시 강서구 가로공원로77길 30, 솔뫼공원경로당 2층","일요일, 공휴일",02-2690-2468
196,송정작은도서관,1,강서구,서울특별시 강서구 송정길 45 공항동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7932
1494,수명산작은도서관,1,강서구,서울특별시 강서구 수명로 1길 131 내발산동공공기숙사 지하 1층 ,"일요일, 공휴일",02-2666-0037
2434,승리행복작은도서관,1,강서구," 서울특별시 강서구 곰달래로 220, (화곡동) 301호",휴관중,02-2602-0506
182,아리향기작은도서관,1,강서구,서울특별시 강서구 양천로67가길 63 염창동주민센터2층,"토요일, 일요일, 공휴일",02-2600-7326
1858,아이편한작은도서관,1,강서구,서울특별시 강서구 강서로 266 우장산아이파크이편한세상,휴관중,02-2602-9443
2022,어울림작은도서관,1,강서구,"서울특별시 강서구 마곡중앙1로 72(마곡동, 마곡10단지) ","수요일, 일요일, 공휴일",02-2666-9606
190,역마을작은도서관,1,강서구,서울특별시 강서구 화곡로 312 화곡6동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7660
2014,염창작은도서관,1,강서구,"서울특별시 강서구 공항대로75길 30, 상가동 301호 ","토요일, 일요일, 공휴일",02-6449-2025
208,예뜰작은도서관,1,강서구,서울특별시 강서구 강서로17길 133 진성빌딩 예뜰문고,휴관중,02-2698-5006
1599,예인작은도서관,1,강서구,서울특별시 강서구 방화대로 34길 120 201호 신안빌라상가,"일요일, 공휴일",02-2605-0682
1495,옹기종기작은도서관,1,강서구,서울특별시 강서구 공항대로 61길 50 염창지역정보센터 내 2층,"토요일, 일요일, 공휴일",02-2600-7324
2723,옹달샘작은도서관,1,강서구,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7545
2435,우리작은도서관,1,강서구,서울특별시 강서구 방화대로6라길 26 2층,"일요일, 공휴일",02-2662-3927
1394,우장산숲속도서관,1,강서구,서울특별시 강서구 우현로 34,매주 월요일 및 법정 공휴일,02-2696-6690
1600,작은뜰작은도서관,1,강서구,서울특별시 강서구 마곡서로 175 작은뜰작은도서관,휴관중,070-8866-7785
2148,종이비행기작은도서관,1,강서구,서울특별시 강서구 남부순환로19길 50 202호,휴관중,02-6015-7991
217,좋은친구어린이도서관,1,강서구,서울특별시 강서구 방화대로6나길 28 한사랑교회 2층,"월요일, 공휴일",02-2662-8326
198,채움작은도서관,1,강서구,서울특별시 강서구 개화동로23길20 방화2동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-5225
2709,책마당SH작은도서관,1,강서구,서울특별시 강서구 허준로 176(가양8단지),토요일,02-2668-9000
188,책마루작은도서관,1,강서구,서울특별시 강서구 강서로33가길 17 화곡3동주민센터 2층,"일요일, 공휴일",02-2600-7577
195,책향기작은도서관,1,강서구,서울특별시 강서구 강서로47길 54 발산1동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7979
1854,천사작은도서관,1,강서구,서울특별시 강서구 마곡서로 133 705동 3층,"토요일, 일요일, 공휴일",070-5138-5860
1593,초록동작은도서관,1,강서구,"서울특별시 강서구 초록마을로 14길 36, 2층 초록동 경로당 2층","토요일, 일요일, 공휴일",02-2065-7670
185,초록향기작은도서관,1,강서구,서울특별시 강서구 초록마을로5길 29 화곡본동주민센터 2층,"일요일, 공휴일",02-2600-7474
1273,큰마음작은도서관,1,강서구,서울특별시 강서구 화곡로63길 96 등촌3동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7448
93,푸른들청소년도서관,1,강서구,서울특별시 강서구 강서로45다길 71,매주 월요일 및 법정 공휴일,02-2691-1630
203,하늘꿈작은도서관,1,강서구,서울특별시 강서구 강서로45나길 19-30 내발산동근린생활시설 하늘꿈작은도서관,"일요일, 공휴일",02-2664-3126
2023,하늘뜰작은도서관,1,강서구,"서울특별시 강서구 마곡중앙1로 71(마곡동, 마곡힐스테이트) 1311동","목요일, 금요일, 토요일, 일요일, 공휴일",02-3664-7070
1705,한국문화관광연구원정책자료실,1,강서구,서울특별시 강서구 금낭화로 154,"토요일, 일요일, 법정공휴일",02-2669-9818
1592,해뜰작은도서관,1,강서구,"서울특별시 강서구 방화대로 48길 40, 방화2 종합사회복지관 방화2종합사회복지관 3층","토요일, 일요일, 공휴일",02-2662-6669
193,허준마을작은도서관,1,강서구,서울특별시 강서구 허준로 93 가양2동주민센터 2층,"토요일, 일요일, 공휴일",02-2600-7813
220,화곡푸르지오도서관,1,강서구,서울특별시 강서구 화곡로13길 107 화곡푸르지오 도서관,"일요일, 공휴일",02-2691-6104
204,환원어린이작은도서관,1,강서구,서울특별시 강서구 금낭화로26가길 120 지온보육원 강서지역아동복지센터 ,"일요일, 공휴일",02-2662-3485
216,희망문고,1,강서구,서울특별시 강서구 화곡로 18길 30-11 원흥타운 207호 ,"일요일, 공휴일",02-2690-0511
2529,7단지 작은도서관,2,양천구,서울특별시 양천구 목동로 212(목동) ,휴관중,02-2646-2367
2531,K-Culture 작은도서관,2,양천구,서울특별시 양천구 목동로3길 57 ,"토,일.공휴일",02-2646-0365
1408,갈산도서관,2,양천구,서울특별시 양천구 목동남로4길 48-6,매주 월요일 및 법정공휴일,02-2645-5919
2533,강서제일 어린이 도서관,2,양천구,서울특별시 양천구 화곡로10길 19(신월동) ,휴관중,02-2601-1271070-5001-4115
650,개울건강도서관,2,양천구,서울특별시 양천구 중앙로52길 56,매주 일요일 및 법정공휴일,02-2603-5919
2534,고맙습니다 신정3동 작은도서관,2,양천구,서울특별시 양천구 중앙로 209 신정3동주민센터 2층,"일, 법정공휴일",02-2699-6855
2535,고운달작은도서관,2,양천구,서울특별시 양천구 곰달래로1길 38 신월1동주민센터 2층,"토,일,법정공휴일",02-2620-4069
2536,고운맘작은도서관,2,양천구,서울특별시 양천구 중앙로53길 47 신월2동주민센터 2층,"일, 법정공휴일",02-2694-5454
2537,그루터기,2,양천구,서울특별시 양천구 신정이펜2로 55 ,휴관중,02-2606-0289
2539,글바라기 (이펜1),2,양천구,서울특별시 양천구 신정이펜1로 99(신정동) ,"토,일요일",02-2601-0798
1484,기쁨을나누는작은도서관,2,양천구,서울특별시 양천구 월정로 62(신월동) ,없음,02-2692-2369
2690,깐 작은도서관,2,양천구,서울특별시 양천구 지양로7길 27 (신월동),휴관중,
672,꿈꾸는도서관,2,양천구,서울특별시 양천구 신월로24길 19 상아아름아파트 B101,"일요일, 공휴일",070-4755-3705
2540,꿈자람작은도서관,2,양천구,서울특별시 양천구 목동중앙남로16나길 55 목3동주민센터 2층,"일, 법정공휴일",02-2654-3970
2541,넓은들 작은도서관,2,양천구,서울특별시 양천구 남부순환로88길 5-7 현장민원실 1층,"토,일,법정공휴일",02-2618-1307
2542,달마을작은도서관,2,양천구,서울특별시 양천구 목동중앙본로 120 목2동주민센터 2층,"일, 법정공휴일",02-2620-3979
2543,달빛마을작은도서관,2,양천구,서울특별시 양천구 남부순환로54길 5 신월3동주민센터 2층,"토,일,법정공휴일",02-2620-4108
2544,마을도서관 (학마을2단지) - 장기휴관,2,양천구,서울특별시 양천구 신정로14길 1(신정동) ,휴관중,02-2696-8412
2545,마을속 도서관 나무그늘 (이펜3),2,양천구,서울특별시 양천구 신정이펜1로 50(신정동) ,일요일,070-7659-0851
2546,목1동도서방,2,양천구,서울특별시 양천구 목동서로 192 목1동주민센터 2층,"토요일, 일요일,공휴일",02-2620-3947
1412,목마교육도서관,2,양천구,서울특별시 양천구 목동서로 41 목5동주민센터,매주 일요일 및 법정공휴일,02-2652-5919
656,미감도서관,2,양천구,서울특별시 양천구 목동중앙남로 57-10(목동) 목사랑시장고객주차장 및 공유센터 3층,매주 일요일 및 법정공휴일,02-2653-5919
1763,방송통신심의위원회자료실,2,양천구,서울특별시 양천구 목동동로 233 한국방송회관 17층 자료실,"토요일, 일요일, 법정공휴일",02-3219-5295
651,방아다리문학도서관,2,양천구,서울특별시 양천구 화곡로4길 10,매주 일요일 및 법정공휴일,02-2604-5919
2547,사랑방문고 (이펜5),2,양천구,서울특별시 양천구 신정이펜1로 27(신정동) ,"화,목,토,일요일",02-2602-0293
1487,새희망작은도서관,2,양천구,서울특별시 양천구 지양로 96(신월동) ,없음,02-2601-8291
2548,생명샘 작은도서관,2,양천구,서울특별시 양천구 목동중앙본로3길 10(목동) ,휴관중,02-2653-1531
15,서울특별시교육청양천도서관,2,양천구,서울특별시 양천구 목동서로 113,"1,3주 목요일 및 법정공휴일",02-2062-3900
2689,소담 작은도서관,2,양천구,서울특별시 양천구 목동중앙본로20길 61(목동) 102호,휴관중,02-6080-2017
2549,숲 속 북카페,2,양천구,서울특별시 양천구 신정로 110(신정동) ,"토,일요일, 법정휴일",02-2060-6913
661,신월7동도서방,2,양천구,서울특별시 양천구 남부순환로70길 16-3 신월7동주민센터 남부순환로 70길 16-3,"일요일,공휴일",02-2698-8338
56,신월음악도서관,2,양천구,서울특별시 양천구 오목로5길 34,매주 월요일 및 법정공휴일,02-2691-5919
662,신정1동그린나래작은도서관,2,양천구,서울특별시 양천구 중앙로32길 1 신정1동주민센터 중앙로 32길 1,"일요일, 법정공휴일",02-2084-5387
667,신정6동도서방,2,양천구,서울특별시 양천구 목동서로 353 목동서로 353,"토,일요일 및 공휴일",02-2620-4303
668,신정7동도서방,2,양천구,서울특별시 양천구 목동동로 37 목동동로 37,일요일 및 공휴일,02-2620-4327
2067,아인어린이작은도서관,2,양천구,"서울특별시 양천구 신정로 13길 21, 3층 ",없음,02-2603-7200
2714,양천중앙도서관,2,양천구,서울특별시 양천구 신정로7길 81,매주 금요일 및 법정공휴일,02-2699-5919
2064,에듀카페맘,2,양천구,"서울특별시 양천구 월정로48길 15-2 1,2층",없음,02-792-7937
2712,에듀카페맘작은도서관,2,양천구,서울특별시 양천구 월정로48길 15-2,"월, 수, 금, 주말 및 공휴일",02-792-7933
2538,엘벧엘 T.C.S. 작은도서관,2,양천구,서울특별시 양천구 지양로2길 30  ,"토,일,공휴일",02-2606-7591
2550,연세 작은도서관,2,양천구,서울특별시 양천구 오목로 64-3(신월동) 2층,휴관중,02-2695-9191
1407,영어특성화도서관,2,양천구,서울특별시 양천구 목동동로 81 해누리타운 7층 양천영어도서관 및 영어체험센터,매주 일요일 및 법정공휴일,02-2642-5919
1344,은행정책마당,2,양천구,서울특별시 양천구 오목로 110 2층,"토,일요일",02-2665-0748
670,이레작은도서관,2,양천구,서울특별시 양천구 목동중앙남로 57-7 ,휴관중,02-2653-8009
2165,작은도서관내일새싹,2,양천구,서울특별시?양천구?월정로50길?6(신월동) ,,02-2063-3333
1341,종이비행기작은도서관,2,양천구,서울특별시 강서구 남부순환로19길 50 202호,"일요일, 공휴일",02-6015-7991
1488,지양마을작은도서관,2,양천구,서울특별시 양천구 지양로17길 33 지양로17길33,"월, 일요일, 법정공휴일",02-2692-1704
679,책읽는쉼터,2,양천구,서울특별시 양천구 목동동로 10 목동신시가지아파트11단지 관리사무소,휴관중,02-2655-0427
677,푸른나래어린이도서관,2,양천구,서울특별시 양천구 남부순환로 340 일성빌딩 3층,"토,일요일, 법정휴일",02-2694-7909
1489,푸른마을해바라기작은도서관(푸른마을1단지),2,양천구,서울특별시 양천구 신정로7길 70 푸른마을아파트 1단지,휴관중,02-2060-7183
2551,한사랑작은도서관,2,양천구,서울특별시 양천구 목동동로 33 ,월요일,02-2648-5244
1895,한어울터(신정이펜4단지),2,양천구,서울특별시 양천구 신정이펜1로 51 신정이펜하우스 4단지,휴관중,02-2604-1185
1841,해맞이역사도서관,2,양천구,서울특별시 양천구 지양로 37,매주 월요일 및 법정공휴일,02-2693-5919
2739,행복둥지 작은도서관,2,양천구,서울특별시 양천구 신월로24길 8 304호,"토,일,법정공휴일",
1490,행복한도서관,2,양천구,서울특별시 양천구 목동로15길 16-1 지층,없음,070-7524-6061
2166,혜윰도서관,2,양천구,서울특별시 양천구 신정로7길 60-2(신정동) ,휴관중,
663,호롱불작은도서관,2,양천구,서울특별시 양천구 목동동로 152 신정2동주민센터 목동동로 152,"토, 일요일, 법정공휴일",02-2620-4229
2552,H HOUSE 라이브러리,3,영등포구,서울특별시 영등포구 시흥대로 595 대림뉴스테이 201호,휴관중,848-9166
1772,KBS도서관,3,영등포구,서울특별시 영등포구 여의공원로 13 한국방송공사 내,"토요일, 일요일, 법정공휴일",02-781-1661
2745,e편한세상영등포아델포레작은도서관,3,영등포구,서울특별시 영등포구 신길로29,,02-849-9824
692,구민회관작은도서관,3,영등포구,서울특별시 영등포구 국회대로 596 영등포구민회관 3층,"토,일,법정공휴일",02-2678-9997
2,국회도서관,3,영등포구,서울특별시 영등포구 의사당대로 1,"매월 둘째, 넷째 토요일",02-788-4211
1771,금융감독원자료실,3,영등포구,서울특별시 영등포구 여의대로 38,"토요일, 일요일, 법정공휴일",02-3145-5993
2553,꿈이있는 작은도서관,3,영등포구,서울특별시 영등포구 신풍로16길 1 ,"매주 토요일,일요일",02-833-7213
690,꿈이있는도서관,3,영등포구,서울특별시 강서구 강서로47길 108 마곡수명산파크 1단지,"토요일, 일요일, 공휴일",02-2667-1114
706,꿈터마을도서관,3,영등포구,서울특별시 영등포구 도림로 264 신길5동주민센터,"토,일,법정공휴일",02-836-1005
2743,나무야작은도서관,3,영등포구,"서울특별시 영등포구 영신로 19길24,2층",휴관중,02-848-0815
2691,당산1동 공립작은도서관,3,영등포구,서울특별시 영등포구 양산로23길 11,"토,일,법정공휴일",02-2677-7916
2692,당산2동 공립작은도서관,3,영등포구,서울특별시 영등포구 당산로41가길 77,"토,일,법정공휴일",02-2632-2276
2555,"당성책세상, 우리세상 문고",3,영등포구,서울특별시 영등포구 당산로 16길 25 2층,"매주 토요일,일요일",02-2675-9191
2556,대림1동작은도서관,3,영등포구,서울특별시 영등포구 디지털로436,,835-8290
2740,대림2동작은도서관,3,영등포구,서울특별시 영등포구 대림로23길25 어린이집 4층,"토,일,법정공휴일",02-832-1215
711,대림3동작은도서관,3,영등포구,서울특별시 영등포구 대림로 197 주민센터 2층,"토,일,법정공휴일",02-832-4705
80,대림도서관,3,영등포구,서울특별시 영등포구 도신로 27,매주 월요일 및 법정공휴일,02-828-3700
2557,도란도란 에스티움 작은도서관,3,영등포구,서울특별시 영등포구 신풍로 77 ,"매주 토요일,일요일",02-849-9571
699,도림동 공립작은도서관,3,영등포구,서울특별시 영등포구 도신로33길 4 ,"토,일,법정공휴일",02-833-3036
1516,동네작은도서관,3,영등포구,서울특별시 영등포구 당산로 214 당산 삼성래미안 4차아파트 상가1동 B1호 ,"토요일,일요일",
1517,두껍아두껍아어린이도서관,3,영등포구,서울특별시 영등포구 디지털로 412 2층 ,"월요일, 화요일,수요일",02-2631-2534
1518,두날개작은도서관,3,영등포구,서울특별시 영등포구 가마산로 333 유현빌딩 3층,법정공휴일,02-824-3796
705,드나드리마을도서관,3,영등포구,서울특별시 영등포구 신길로42길 1 신길4동주민센터 209-102,"토,일,법정공휴일",02-849-0394
708,마음서랍마을도서관,3,영등포구,서울특별시 영등포구 여의대방로43길10 신길7동 주민센터 5층,"토,일,법정공휴일",070-8895-1186
1987,목화마을작은도서관,3,영등포구,"서울특별시 영등포구 선유로13길 25, (문래동6가) 에이스하이테크시티2차 218호","토,일요일 및 공휴일",02-811-7410
102,문래도서관,3,영등포구,서울특별시 영등포구 문래로20길 49,매주 월요일 및 법정공휴일,02-2629-8600
700,문래동작은도서관,3,영등포구,서울특별시 영등포구 도림로141가길 16,"토,일,법정공휴일",02-2068-8919
2744,문래자이문고,3,영등포구,서울특별시 영등포구 문래동3가 54번지 102-1,-,02-2671-4550
2763,밤동산마을도서관,3,영등포구,서울특별시 영등포구 여의대방로61길 18-2,매주 월요일 및 법정공휴일,02-849-9716
1767,보험연구원(kiri),3,영등포구,서울특별시 영등포구 국제금융로6길 38 화재보험협회 8층,"토요일, 일요일, 법정공휴일",02-3775-9113
2559,북마크어린이도서관,3,영등포구,서울특별시 영등포구 선유로277-9 ,휴관중,2678-6378
2742,빛글공감마을도서관,3,영등포구,서울특별시 영등포구 당산로16길5-1,"토,일,법정공휴일",02-2671-7005
704,생각나무마을도서관,3,영등포구,서울특별시 영등포구 신길로41라길 13-8 신길3동주민센터 2층,"토,일요일.공휴일",070-8895-1185
19,서울특별시교육청영등포평생학습관,3,영등포구,서울특별시 영등포구 버드나루로15길 10,"2,4주 월요일 및 법정공휴일",02-6712-7500
2693,서울하우징랩SH 작은도서관,3,영등포구,"서울특별시 영등포구 영신로 183, 서울하우징랩",,02-2135-5699
109,선유도서관,3,영등포구,서울특별시 영등포구 선유로43가길 10-8,매주 월요일 및 법정공휴일,02-2163-0800
703,신길1동작은도서관,3,영등포구,서울특별시 영등포구 영등포로84길 24-5 신길종합사회복지관,"토,일,법정공휴일",070-8895-1184
707,신길6동작은도서관,3,영등포구,서울특별시 영등포구 대방천로 193 구립신길6동복지회관,"토요일, 일요일,공휴일",02-835-7476
1665,쌍용도서관,3,영등포구,서울특별시 영등포구 도영로7길 15 쌍용플레티넘시티 104동 2층 ,법정공휴일,
701,양평1동작은도서관,3,영등포구,서울특별시 영등포구 영등포로 11길 12 양평1동주민센터 211-1,"토,일,법정공휴일",02-3667-9996
702,양평2동작은도서관,3,영등포구,서울특별시 영등포구 선유로47길30 양평2동주민센터4층,"토요일,일요일,공휴일",02-2679-5252
1519,언니네작은도서관,3,영등포구,서울특별시 영등포구 대림로35길 13 2층 미루빌딩 4층,"월요일, 일요일",02-715-6210
1666,에듀까페맘작은도서관,3,영등포구,서울특별시 영등포구 대방천로 140-1 신길동,법정공휴일,
696,여의동작은도서관,3,영등포구,서울특별시 영등포구 국제금융로 124 여의동주민센터 3층,"토,일,법정공휴일",02-784-2268
1388,여의샛강마을도서관,3,영등포구,서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동,매주 월요일 및 법정공휴일,02-2629-2222
695,영등포동작은도서관,3,영등포구,서울특별시 영등포구 국회대로44길4 자치회관 1층,"토,일,법정공휴일",02-2636-8222
693,영등포본동작은도서관,3,영등포구,서울특별시 영등포구 신길로61길 17 영등포본동주민센터 3층,"토,일,법정공휴일",02-847-8883
1520,요셉의원작은도서관,3,영등포구,서울특별시 영등포구 경인로 100길 6 ,"목요일,토요일,일요일",
2560,입암도서관 (구 도림도서관),3,영등포구,서울특별시 영등포구 도영로 37 도림교회 사회봉사관 2층,공휴일,02-2181-6097
1769,주택산업연구원도서관,3,영등포구,"서울특별시 영등포구 국제금융로8길 25, 주택건설회관 10층","토요일, 일요일, 법정공휴일",02-3215-7619
2561,쪼물왕국 어린이도서관,3,영등포구,서울특별시 영등포구 선유로53길 34-14 ,휴관중,6408-7205
2741,책나무마을도서관,3,영등포구,서울특별시 영등포구 당산로16길17-1,"토,일,법정공휴일",02-2671-7009
694,청소년문화의집작은도서관,3,영등포구,서울특별시 영등포구 영등포로64길 15 청소년문화회관내 1층 문고,"일,월요일,공휴일",02-843-5935
2746,포레나라곰작은도서관,3,영등포구,서울특별시 영등포구 국회대로50길20 3층,"토,일,법정공휴일",02-2069-1625
1773,한국가정법률상담소도서실,3,영등포구,서울특별시 영등포구 국회대로76가길 14,"토요일, 일요일, 법정공휴일",02-780-5688
1768,한국경제연구원정보자료센터,3,영등포구,서울특별시 영등포구 여의대로 24 전경련회관 45층,"토요일, 일요일, 법정공휴일",02-3771-0001
1764,한국노동조합총연맹도서관,3,영등포구,서울특별시 영등포구 국제금융로6길 26,"토요일, 일요일, 법정공휴일",02-6277-0067
1765,한국소방안전협회자료실,3,영등포구,서울특별시 영등포구 영중로 170 한국소방안전협회 5층 자료실,"토요일, 일요일, 법정공휴일",02-2671-8610
1774,한국화재보험협회자료실,3,영등포구,서울특별시 영등포구 국제금융로6길 38 화재보험협회,"토요일, 일요일, 법정공휴일",02-3780-0313
1775,한림대학교강남성심병원도서실,3,영등포구,서울특별시 영등포구 신길로 1,"토요일, 일요일, 법정공휴일",02-829-5091
687,한믿음도서관,3,영등포구,서울특별시 영등포구 대방천로12길 5-2 ,법정공휴일,02-847-8228
1766,한화생명정보자료실,3,영등포구,서울특별시 영등포구 63로 50 63한화생명빌딩 4층 한화생명 정보자료실,"토요일, 일요일, 법정공휴일",02-789-7531
1667,해오름어린이작은도서관,3,영등포구,서울특별시 영등포구 당산로44길 3 608,"매주 토요일,일요일",02-2679-6270
2563,홍우 작은도서관,3,영등포구,서울특별시 영등포구 국제금융로 78 601,"매주 토요일,일요일",02-782-1248
2701,구립김영삼도서관,4,동작구,서울특별시 동작구 매봉로 1(상도1동 611),"매주 월요일, 법정공휴일",02-827-0557
1878,국사봉숲속작은도서관,4,동작구,서울특별시 동작구 양녕로23길 27 (상도동) ,"매주 일요일, 법정 공휴일",
1723,기상청도서관,4,동작구,서울특별시 동작구 여의대방로16길 61,"토요일, 일요일, 공휴일",02-2181-0232
2766,까망돌도서관,4,동작구,서울특별시 동작구 서달로 129(흑석동 340-1),"매주 월요일, 법정공휴일",02-815-3701
1521,까망돌어린이도서관,4,동작구,"서울특별시 동작구 흑석한강로 13,2층 서울남부교회","토요일, 일요일",02-822-2013
2480,꿈담도서관,4,동작구,서울특별시 동작구 성대로2길 9 3층,"월요일, 일요일",02-826-6300
2481,꿈먹작은도서관,4,동작구,서울특별시 동작구 동작대로11길 77 성진교회,"월요일, 토요일, 일요일",02-584-8693
2482,꿈익는책마을,4,동작구,서울특별시 동작구 상도로38길 24 남현교회,없음,02-821-0667
1880,나무별작은도서관,4,동작구,서울특별시 동작구 장승배기로 6 지층,일요일,02-6095-0578
